Eatery_Id,Eatery_Name,City,Country_Code,Cuisines,Price_Range,Average_Cost_For_Two,Online_Delivery,Deliverying_Available,Table_Booking_Available,Aggregate_Rating,Rating_Text,Votes,Currency
18432218,Khanna's Hot Pizza,New Delhi,1,Pizza,1,350,0,0,0,0.0,Not rated,1,Rs.
313225,Raj Petha Bhandar,New Delhi,1,Mithai,1,200,0,0,0,0.0,Not rated,1,Rs.
18469838,The Friends Cafe,New Delhi,1,Chinese,1,300,0,0,0,0.0,Not rated,0,Rs.
18469838,The Friends Cafe,New Delhi,1,Italian,1,300,0,0,0,0.0,Not rated,0,Rs.
18376495,Chai Garam,New Delhi,1,Beverages,1,150,0,0,0,0.0,Not rated,0,Rs.
18376495,Chai Garam,New Delhi,1,Fast Food,1,150,0,0,0,0.0,Not rated,0,Rs.
18432000,GO CHATZ With Breadz,New Delhi,1,Chinese,1,250,0,0,0,0.0,Not rated,1,Rs.
18432000,GO CHATZ With Breadz,New Delhi,1,Fast Food,1,250,0,0,0,0.0,Not rated,1,Rs.
18222598,Murliwala Bakers,New Delhi,1,Bakery,1,250,0,0,0,0.0,Not rated,0,Rs.
18222598,Murliwala Bakers,New Delhi,1,Fast Food,1,250,0,0,0,0.0,Not rated,0,Rs.
308940,Sanjha Chula Baba Da,New Delhi,1,North Indian,1,250,0,0,0,0.0,Not rated,1,Rs.
18423892,Fuel Diet Cafe,New Delhi,1,Healthy Food,1,350,0,0,0,0.0,Not rated,0,Rs.
18384143,Mitra Da Dhabha,New Delhi,1,Mughlai,1,350,0,0,0,0.0,Not rated,0,Rs.
18384143,Mitra Da Dhabha,New Delhi,1,North Indian,1,350,0,0,0,0.0,Not rated,0,Rs.
18376513,Khalsa Dhaba,New Delhi,1,North Indian,1,350,0,0,0,0.0,Not rated,0,Rs.
18433869,Buddy 's. Pizza,New Delhi,1,Pizza,1,300,0,0,0,0.0,Not rated,0,Rs.
18421474,Bhatia Chinese Food,New Delhi,1,Chinese,1,200,0,0,0,0.0,Not rated,0,Rs.
18421474,Bhatia Chinese Food,New Delhi,1,South Indian,1,200,0,0,0,0.0,Not rated,0,Rs.
18421474,Bhatia Chinese Food,New Delhi,1,Fast Food,1,200,0,0,0,0.0,Not rated,0,Rs.
18261956,Goldy Chat Bhandar,New Delhi,1,Street Food,1,100,0,0,0,0.0,Not rated,0,Rs.
18377904,Break Fast Junction,New Delhi,1,North Indian,1,200,0,0,0,0.0,Not rated,0,Rs.
18349764,Bansal Foods,New Delhi,1,North Indian,2,600,0,0,0,0.0,Not rated,0,Rs.
18431979,Panjabi Chic-Shoppe,New Delhi,1,Raw Meats,1,300,0,0,0,0.0,Not rated,0,Rs.
18431979,Panjabi Chic-Shoppe,New Delhi,1,Street Food,1,300,0,0,0,0.0,Not rated,0,Rs.
18423103,Ramlal Sweets,New Delhi,1,Mithai,1,100,0,0,0,0.0,Not rated,0,Rs.
18423101,Kebabish,New Delhi,1,North Indian,2,550,0,0,0,0.0,Not rated,0,Rs.
18433871,Sri Krishna,New Delhi,1,Street Food,1,200,0,0,0,0.0,Not rated,0,Rs.
18421482,Breakfast Hut,New Delhi,1,North Indian,1,200,0,0,0,0.0,Not rated,0,Rs.
18378036,Fattoush,New Delhi,1,Lebanese,1,200,0,0,0,2.9,Average,5,Rs.
312479,Banspi,New Delhi,1,Chinese,1,350,0,0,0,2.9,Average,13,Rs.
18418242,Vegie Kitchen,New Delhi,1,Chinese,1,250,0,0,0,3.1,Average,10,Rs.
18418242,Vegie Kitchen,New Delhi,1,North Indian,1,250,0,0,0,3.1,Average,10,Rs.
4982,The Yummy Chilli,New Delhi,1,Mughlai,2,600,0,0,0,2.9,Average,9,Rs.
4982,The Yummy Chilli,New Delhi,1,North Indian,2,600,0,0,0,2.9,Average,9,Rs.
4935,China Town,New Delhi,1,Chinese,1,250,0,0,0,2.9,Average,11,Rs.
9829,Cafe Coffee Day,New Delhi,1,Cafe,1,450,0,0,0,2.8,Average,14,Rs.
18208895,The Chinese Hut,New Delhi,1,Chinese,1,350,0,0,0,3.0,Average,10,Rs.
18208895,The Chinese Hut,New Delhi,1,Fast Food,1,350,0,0,0,3.0,Average,10,Rs.
9849,Mehta Food Junction,New Delhi,1,North Indian,1,300,1,0,0,3.0,Average,8,Rs.
9849,Mehta Food Junction,New Delhi,1,South Indian,1,300,1,0,0,3.0,Average,8,Rs.
305949,Laxmi Vaishno Dhaba,New Delhi,1,North Indian,1,300,0,0,0,3.0,Average,13,Rs.
18268367,Aashirwad Restaurant,New Delhi,1,North Indian,1,400,1,0,0,2.6,Average,5,Rs.
18268367,Aashirwad Restaurant,New Delhi,1,Chinese,1,400,1,0,0,2.6,Average,5,Rs.
18381652,Chawla's Tandoori Junction,New Delhi,1,North Indian,2,500,0,0,0,0.0,Not rated,3,Rs.
18381652,Chawla's Tandoori Junction,New Delhi,1,Mughlai,2,500,0,0,0,0.0,Not rated,3,Rs.
9850,Gulshan Pastry Shop,New Delhi,1,Bakery,1,200,0,0,0,3.0,Average,9,Rs.
306113,Chauhan Laxmi Sweets,New Delhi,1,Mithai,1,150,0,0,0,3.0,Average,11,Rs.
4939,Handa's,New Delhi,1,North Indian,2,500,1,0,0,2.6,Average,8,Rs.
4939,Handa's,New Delhi,1,Chinese,2,500,1,0,0,2.6,Average,8,Rs.
308816,Punjabi Tadka,New Delhi,1,North Indian,1,400,0,0,0,2.8,Average,5,Rs.
18377903,Fast Trax,New Delhi,1,Fast Food,1,250,1,0,0,3.2,Average,4,Rs.
8215,Mandrain,New Delhi,1,Chinese,1,450,0,0,0,2.8,Average,7,Rs.
305948,Chandni Chowk Parantha Corner,New Delhi,1,North Indian,1,100,0,0,0,3.1,Average,8,Rs.
18416369,Homely Delight,New Delhi,1,Mughlai,1,400,0,0,0,3.1,Average,7,Rs.
18416369,Homely Delight,New Delhi,1,Biryani,1,400,0,0,0,3.1,Average,7,Rs.
311245,China Town,New Delhi,1,Chinese,1,300,1,0,0,2.7,Average,11,Rs.
18375372,Mr. Baker's,New Delhi,1,Bakery,1,250,0,0,0,0.0,Not rated,1,Rs.
307362,Lobby Lounge - Crowne Plaza,New Delhi,1,Finger Food,4,2000,0,0,1,3.2,Average,12,Rs.
308237,SB's Raisins,New Delhi,1,Bakery,1,350,1,0,0,2.8,Average,15,Rs.
308237,SB's Raisins,New Delhi,1,Desserts,1,350,1,0,0,2.8,Average,15,Rs.
308237,SB's Raisins,New Delhi,1,Fast Food,1,350,1,0,0,2.8,Average,15,Rs.
18260604,Haqeem's,New Delhi,1,North Indian,1,250,0,0,0,2.7,Average,14,Rs.
